rank,name,symbol,price,price_num,change_24h,change_num,market_cap,timestamp
1,"CoinMarketCap 20 Index DTF
CMC20","CoinMarketCap 20 Index DTF
CMC20",$193.20,193.2,0.84%,0.84,,2025-12-09 21:18:23
2,"Bitcoin
BTC","Bitcoin
BTC","$92,021.47",92021.47,2.06%,2.06,,2025-12-09 21:18:27
3,"Ethereum
ETH","Ethereum
ETH","$3,212.02",3212.02,3.21%,3.21,,2025-12-09 21:18:31
4,"Tether
USDT","Tether
USDT",$1.00,1.0,0.01%,0.01,,2025-12-09 21:18:35
5,"XRP
XRP","XRP
XRP",$2.10,2.1,2.54%,2.54,,2025-12-09 21:18:40
6,"BNB
BNB","BNB
BNB",$899.50,899.5,1.77%,1.77,,2025-12-09 21:18:44
7,"USDC
USDC","USDC
USDC",$1.00,1.0,0.02%,0.02,,2025-12-09 21:18:48
8,"Solana
SOL","Solana
SOL",$136.87,136.87,3.59%,3.59,,2025-12-09 21:18:52
9,"TRON
TRX","TRON
TRX",$0.2801,0.2801,0.14%,0.14,,2025-12-09 21:18:56
10,"Dogecoin
DOGE","Dogecoin
DOGE",$0.1455,0.1455,3.20%,3.2,,2025-12-09 21:19:01
